idna_subject,checker_type,destination,source,tested_at
creditauthpagev3.info,AVAILABILITY,domains.list,/home/runner/work/Add_Spam/Add_Spam/domains.list,2021-01-24 10:16:35.970971
redhotfreebies.co.uk,AVAILABILITY,domains.list,/home/runner/work/Add_Spam/Add_Spam/domains.list,2021-01-24 10:18:06.584878
thedatingconference.com,AVAILABILITY,domains.list,/home/runner/work/Add_Spam/Add_Spam/domains.list,2021-01-24 10:18:24.519783
www.creditauthpagev3.info,AVAILABILITY,domains.list,/home/runner/work/Add_Spam/Add_Spam/domains.list,2021-01-24 10:19:08.842979
www.defenderxtactical.com,AVAILABILITY,domains.list,/home/runner/work/Add_Spam/Add_Spam/domains.list,2021-01-24 10:19:15.273113
www.fitnesshealthreporter.com,AVAILABILITY,domains.list,/home/runner/work/Add_Spam/Add_Spam/domains.list,2021-01-24 10:19:31.263856
www.onlineloan-personal.net,AVAILABILITY,domains.list,/home/runner/work/Add_Spam/Add_Spam/domains.list,2021-01-24 10:20:21.442855
www.otherinbox.com,AVAILABILITY,domains.list,/home/runner/work/Add_Spam/Add_Spam/domains.list,2021-01-24 10:20:27.936542
www.redhotfreebies.co.uk,AVAILABILITY,domains.list,/home/runner/work/Add_Spam/Add_Spam/domains.list,2021-01-24 10:20:52.213358
www.thedatingconference.com,AVAILABILITY,domains.list,/home/runner/work/Add_Spam/Add_Spam/domains.list,2021-01-24 10:21:06.988619
