idna_subject,checker_type,destination,source,tested_at,session_id
100.1qingdao.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:03:17.017981+00:00,8b44a8833235bf38c696a1df
7minuteworkout.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:03:33.098205+00:00,8b44a8833235bf38c696a1df
addshoppers.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:03:56.441088+00:00,8b44a8833235bf38c696a1df
arklighting.co,AVAILABILITY,domains.list,domains.list,2026-08-11 11:04:08.058642+00:00,8b44a8833235bf38c696a1df
brandedleadgeneration.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:04:15.812725+00:00,8b44a8833235bf38c696a1df
divisioncore.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:04:32.600171+00:00,8b44a8833235bf38c696a1df
freeforums.org,AVAILABILITY,domains.list,domains.list,2026-08-11 11:04:39.796602+00:00,8b44a8833235bf38c696a1df
medtecchina.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:05:02.081805+00:00,8b44a8833235bf38c696a1df
motoren.ru,AVAILABILITY,domains.list,domains.list,2026-08-11 11:05:13.223631+00:00,8b44a8833235bf38c696a1df
mydreamdegree.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:05:34.754602+00:00,8b44a8833235bf38c696a1df
novastarled.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:05:49.306033+00:00,8b44a8833235bf38c696a1df
otherinbox.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:06:00.172604+00:00,8b44a8833235bf38c696a1df
pcbutts1-therealtruth.blogspot.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:06:18.073541+00:00,8b44a8833235bf38c696a1df
playlott.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:06:32.926618+00:00,8b44a8833235bf38c696a1df
profitsitesbiz.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:06:48.791244+00:00,8b44a8833235bf38c696a1df
securesignupoffers.org,AVAILABILITY,domains.list,domains.list,2026-08-11 11:06:50.198826+00:00,8b44a8833235bf38c696a1df
stsoftware.biz,AVAILABILITY,domains.list,domains.list,2026-08-11 11:07:01.341938+00:00,8b44a8833235bf38c696a1df
tekindustri.upnjatim.ac.id,AVAILABILITY,domains.list,domains.list,2026-08-11 11:07:28.783701+00:00,8b44a8833235bf38c696a1df
tinaborg.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:07:32.224007+00:00,8b44a8833235bf38c696a1df
unionleisurewear.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:08:06.641987+00:00,8b44a8833235bf38c696a1df
vntanktransport.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:08:13.326383+00:00,8b44a8833235bf38c696a1df
vydoxtrial.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:09:18.463374+00:00,8b44a8833235bf38c696a1df
www.brandedleadgeneration.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:10:03.992410+00:00,8b44a8833235bf38c696a1df
www.divisioncore.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:10:13.641137+00:00,8b44a8833235bf38c696a1df
www.freeforums.org,AVAILABILITY,domains.list,domains.list,2026-08-11 11:10:36.487405+00:00,8b44a8833235bf38c696a1df
www.medtecchina.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:11:47.622909+00:00,8b44a8833235bf38c696a1df
www.mydreamdegree.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:12:22.539157+00:00,8b44a8833235bf38c696a1df
www.playlott.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:12:33.833519+00:00,8b44a8833235bf38c696a1df
www.profitsitesbiz.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:13:23.108366+00:00,8b44a8833235bf38c696a1df
www.securesignupoffers.org,AVAILABILITY,domains.list,domains.list,2026-08-11 11:14:07.099146+00:00,8b44a8833235bf38c696a1df
www.stsoftware.biz,AVAILABILITY,domains.list,domains.list,2026-08-11 11:14:44.614954+00:00,8b44a8833235bf38c696a1df
www.tkdami.net,AVAILABILITY,domains.list,domains.list,2026-08-11 11:15:09.948835+00:00,8b44a8833235bf38c696a1df
www.unionleisurewear.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:16:19.389982+00:00,8b44a8833235bf38c696a1df
www.vntanktransport.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:17:12.957534+00:00,8b44a8833235bf38c696a1df
www.vydoxtrial.com,AVAILABILITY,domains.list,domains.list,2026-08-11 11:18:16.586217+00:00,8b44a8833235bf38c696a1df
